"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 06:15:49 GMT 2021","Mon Dec 20 06:15:50 GMT 2021","467","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"passed","Mon Dec 20 06:15:35 GMT 2021","Mon Dec 20 06:15:39 GMT 2021","4789","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 06:15:45 GMT 2021","Mon Dec 20 06:15:49 GMT 2021","3207","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"broken","Mon Dec 20 06:15:40 GMT 2021","Mon Dec 20 06:15:43 GMT 2021","3223","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 06:15:49 GMT 2021","Mon Dec 20 06:15:49 GMT 2021","360","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 06:15:32 GMT 2021","Mon Dec 20 06:15:34 GMT 2021","2075","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 06:15:43 GMT 2021","Mon Dec 20 06:15:45 GMT 2021","2545","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
