"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 05:25:26 GMT 2021","Mon Dec 20 05:25:28 GMT 2021","2374","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Mon Dec 20 05:25:28 GMT 2021","Mon Dec 20 05:25:31 GMT 2021","3104","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 05:25:31 GMT 2021","Mon Dec 20 05:25:32 GMT 2021","383","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 05:25:32 GMT 2021","Mon Dec 20 05:25:32 GMT 2021","468","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"broken","Mon Dec 20 05:25:22 GMT 2021","Mon Dec 20 05:25:26 GMT 2021","3468","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 05:25:17 GMT 2021","Mon Dec 20 05:25:22 GMT 2021","4759","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 05:25:15 GMT 2021","Mon Dec 20 05:25:17 GMT 2021","2355","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
