"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 19 18:03:25 GMT 2021","Sun Dec 19 18:03:30 GMT 2021","4307","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"broken","Sun Dec 19 18:03:14 GMT 2021","Sun Dec 19 18:03:19 GMT 2021","4393","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Sun Dec 19 18:03:30 GMT 2021","Sun Dec 19 18:03:30 GMT 2021","390","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"broken","Sun Dec 19 18:03:19 GMT 2021","Sun Dec 19 18:03:22 GMT 2021","2902","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Sun Dec 19 18:03:13 GMT 2021","Sun Dec 19 18:03:14 GMT 2021","1413","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"broken","Sun Dec 19 18:03:22 GMT 2021","Sun Dec 19 18:03:25 GMT 2021","3602","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Sun Dec 19 18:03:30 GMT 2021","Sun Dec 19 18:03:31 GMT 2021","473","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
