"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 16:17:36 GMT 2021","Mon Dec 20 16:17:44 GMT 2021","7529","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 16:17:44 GMT 2021","Mon Dec 20 16:17:50 GMT 2021","5646","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"failed","Mon Dec 20 16:17:50 GMT 2021","Mon Dec 20 16:17:52 GMT 2021","2307","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Mon Dec 20 16:17:52 GMT 2021","Mon Dec 20 16:17:57 GMT 2021","4488","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 16:17:57 GMT 2021","Mon Dec 20 16:17:58 GMT 2021","492","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"passed","Mon Dec 20 16:17:34 GMT 2021","Mon Dec 20 16:17:36 GMT 2021","2510","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 16:17:57 GMT 2021","Mon Dec 20 16:17:57 GMT 2021","351","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
