"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 07:16:09 GMT 2021","Mon Dec 20 07:16:13 GMT 2021","3629","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 07:16:35 GMT 2021","Mon Dec 20 07:16:36 GMT 2021","391","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 07:16:31 GMT 2021","Mon Dec 20 07:16:35 GMT 2021","4200","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 07:16:27 GMT 2021","Mon Dec 20 07:16:31 GMT 2021","3553","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Mon Dec 20 07:16:13 GMT 2021","Mon Dec 20 07:16:21 GMT 2021","7999","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 07:16:21 GMT 2021","Mon Dec 20 07:16:27 GMT 2021","5811","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 07:16:36 GMT 2021","Mon Dec 20 07:16:36 GMT 2021","584","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
