"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 06:44:19 GMT 2021","Mon Dec 20 06:44:23 GMT 2021","3333","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Mon Dec 20 06:44:23 GMT 2021","Mon Dec 20 06:44:27 GMT 2021","3892","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 06:44:27 GMT 2021","Mon Dec 20 06:44:27 GMT 2021","325","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"failed","Mon Dec 20 06:44:10 GMT 2021","Mon Dec 20 06:44:15 GMT 2021","4314","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"broken","Mon Dec 20 06:44:15 GMT 2021","Mon Dec 20 06:44:19 GMT 2021","4230","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 06:44:07 GMT 2021","Mon Dec 20 06:44:10 GMT 2021","2834","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 06:44:27 GMT 2021","Mon Dec 20 06:44:27 GMT 2021","350","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
