"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 15:08:30 GMT 2021","Mon Dec 20 15:08:38 GMT 2021","7585","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 15:08:27 GMT 2021","Mon Dec 20 15:08:30 GMT 2021","2699","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 15:08:52 GMT 2021","Mon Dec 20 15:08:52 GMT 2021","469","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"passed","Mon Dec 20 15:08:47 GMT 2021","Mon Dec 20 15:08:51 GMT 2021","4183","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 15:08:51 GMT 2021","Mon Dec 20 15:08:52 GMT 2021","353","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 15:08:43 GMT 2021","Mon Dec 20 15:08:47 GMT 2021","3429","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Mon Dec 20 15:08:38 GMT 2021","Mon Dec 20 15:08:43 GMT 2021","5515","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
