"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 19 09:06:08 GMT 2021","Sun Dec 19 09:06:08 GMT 2021","372","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"broken","Sun Dec 19 09:05:55 GMT 2021","Sun Dec 19 09:05:58 GMT 2021","3640","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"broken","Sun Dec 19 09:06:04 GMT 2021","Sun Dec 19 09:06:07 GMT 2021","2893","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товара",""
"passed","Sun Dec 19 09:05:53 GMT 2021","Sun Dec 19 09:05:55 GMT 2021","1403","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"broken","Sun Dec 19 09:06:02 GMT 2021","Sun Dec 19 09:06:04 GMT 2021","2456","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"broken","Sun Dec 19 09:05:59 GMT 2021","Sun Dec 19 09:06:02 GMT 2021","3210","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Sun Dec 19 09:06:07 GMT 2021","Sun Dec 19 09:06:08 GMT 2021","495","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
