"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 19 18:25:28 GMT 2021","Sun Dec 19 18:25:30 GMT 2021","1687","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Sun Dec 19 18:25:42 GMT 2021","Sun Dec 19 18:25:42 GMT 2021","481","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"failed","Sun Dec 19 18:25:37 GMT 2021","Sun Dec 19 18:25:38 GMT 2021","1288","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Sun Dec 19 18:25:42 GMT 2021","Sun Dec 19 18:25:42 GMT 2021","348","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"broken","Sun Dec 19 18:25:38 GMT 2021","Sun Dec 19 18:25:41 GMT 2021","3259","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"broken","Sun Dec 19 18:25:33 GMT 2021","Sun Dec 19 18:25:37 GMT 2021","3333","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"broken","Sun Dec 19 18:25:30 GMT 2021","Sun Dec 19 18:25:33 GMT 2021","3363","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
