"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 15:15:31 GMT 2021","Mon Dec 20 15:15:35 GMT 2021","3574","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Mon Dec 20 15:15:40 GMT 2021","Mon Dec 20 15:15:40 GMT 2021","333","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 15:15:25 GMT 2021","Mon Dec 20 15:15:31 GMT 2021","5842","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 15:15:40 GMT 2021","Mon Dec 20 15:15:40 GMT 2021","334","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"passed","Mon Dec 20 15:15:18 GMT 2021","Mon Dec 20 15:15:25 GMT 2021","7649","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 15:15:35 GMT 2021","Mon Dec 20 15:15:40 GMT 2021","4511","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 15:15:15 GMT 2021","Mon Dec 20 15:15:17 GMT 2021","2604","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
