"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 14:35:39 GMT 2021","Mon Dec 20 14:35:42 GMT 2021","3764","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Mon Dec 20 14:35:47 GMT 2021","Mon Dec 20 14:35:47 GMT 2021","336","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 14:35:47 GMT 2021","Mon Dec 20 14:35:48 GMT 2021","396","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"failed","Mon Dec 20 14:35:28 GMT 2021","Mon Dec 20 14:35:32 GMT 2021","4305","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 14:35:32 GMT 2021","Mon Dec 20 14:35:38 GMT 2021","6010","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 14:35:42 GMT 2021","Mon Dec 20 14:35:47 GMT 2021","4331","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 14:35:25 GMT 2021","Mon Dec 20 14:35:28 GMT 2021","3068","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
