"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 19 18:55:22 GMT 2021","Sun Dec 19 18:55:25 GMT 2021","3137","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Sun Dec 19 18:55:19 GMT 2021","Sun Dec 19 18:55:22 GMT 2021","2429","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Sun Dec 19 18:55:08 GMT 2021","Sun Dec 19 18:55:10 GMT 2021","2693","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"broken","Sun Dec 19 18:55:15 GMT 2021","Sun Dec 19 18:55:19 GMT 2021","3719","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Sun Dec 19 18:55:10 GMT 2021","Sun Dec 19 18:55:15 GMT 2021","4684","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Sun Dec 19 18:55:25 GMT 2021","Sun Dec 19 18:55:26 GMT 2021","581","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"passed","Sun Dec 19 18:55:25 GMT 2021","Sun Dec 19 18:55:25 GMT 2021","405","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
