"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 05:29:40 GMT 2021","Mon Dec 20 05:29:41 GMT 2021","426","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"broken","Mon Dec 20 05:29:32 GMT 2021","Mon Dec 20 05:29:35 GMT 2021","3317","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 05:29:25 GMT 2021","Mon Dec 20 05:29:26 GMT 2021","1514","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 05:29:40 GMT 2021","Mon Dec 20 05:29:40 GMT 2021","320","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 05:29:26 GMT 2021","Mon Dec 20 05:29:31 GMT 2021","4905","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 05:29:36 GMT 2021","Mon Dec 20 05:29:40 GMT 2021","3506","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"failed","Mon Dec 20 05:29:35 GMT 2021","Mon Dec 20 05:29:36 GMT 2021","1265","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
