"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 06:50:33 GMT 2021","Mon Dec 20 06:50:39 GMT 2021","5281","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 06:50:47 GMT 2021","Mon Dec 20 06:50:48 GMT 2021","470","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"passed","Mon Dec 20 06:50:26 GMT 2021","Mon Dec 20 06:50:33 GMT 2021","7544","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 06:50:23 GMT 2021","Mon Dec 20 06:50:26 GMT 2021","3047","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 06:50:43 GMT 2021","Mon Dec 20 06:50:47 GMT 2021","4290","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 06:50:47 GMT 2021","Mon Dec 20 06:50:47 GMT 2021","377","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 06:50:39 GMT 2021","Mon Dec 20 06:50:42 GMT 2021","3546","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
