"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 16:19:24 GMT 2021","Mon Dec 20 16:19:30 GMT 2021","5875","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 16:19:30 GMT 2021","Mon Dec 20 16:19:34 GMT 2021","3642","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Mon Dec 20 16:19:14 GMT 2021","Mon Dec 20 16:19:16 GMT 2021","2706","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 16:19:39 GMT 2021","Mon Dec 20 16:19:40 GMT 2021","547","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"passed","Mon Dec 20 16:19:16 GMT 2021","Mon Dec 20 16:19:24 GMT 2021","7643","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 16:19:39 GMT 2021","Mon Dec 20 16:19:39 GMT 2021","405","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 16:19:34 GMT 2021","Mon Dec 20 16:19:39 GMT 2021","4619","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
