"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 06:46:48 GMT 2021","Mon Dec 20 06:46:52 GMT 2021","4108","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 06:46:28 GMT 2021","Mon Dec 20 06:46:31 GMT 2021","2707","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 06:46:39 GMT 2021","Mon Dec 20 06:46:45 GMT 2021","5684","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 06:46:45 GMT 2021","Mon Dec 20 06:46:48 GMT 2021","3388","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Mon Dec 20 06:46:31 GMT 2021","Mon Dec 20 06:46:39 GMT 2021","7751","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 06:46:53 GMT 2021","Mon Dec 20 06:46:53 GMT 2021","369","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"passed","Mon Dec 20 06:46:53 GMT 2021","Mon Dec 20 06:46:53 GMT 2021","446","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
