"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 20 06:30:46 GMT 2021","Mon Dec 20 06:30:47 GMT 2021","384","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"passed","Mon Dec 20 06:30:36 GMT 2021","Mon Dec 20 06:30:40 GMT 2021","3241","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Mon Dec 20 06:30:42 GMT 2021","Mon Dec 20 06:30:46 GMT 2021","3298","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
"passed","Mon Dec 20 06:30:46 GMT 2021","Mon Dec 20 06:30:46 GMT 2021","338","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"failed","Mon Dec 20 06:30:34 GMT 2021","Mon Dec 20 06:30:36 GMT 2021","2321","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"passed","Mon Dec 20 06:30:32 GMT 2021","Mon Dec 20 06:30:34 GMT 2021","1449","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Mon Dec 20 06:30:40 GMT 2021","Mon Dec 20 06:30:42 GMT 2021","2413","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
