"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 19 18:42:09 GMT 2021","Sun Dec 19 18:42:12 GMT 2021","2175","tests.Basket","test_checking_basket_form","","","","Проверка стартового состояния Корзины",""
"passed","Sun Dec 19 18:42:58 GMT 2021","Sun Dec 19 18:42:58 GMT 2021","374","tests.Search","test_failed_searching","","","","Проверка поиска несуществующего продукта",""
"broken","Sun Dec 19 18:42:30 GMT 2021","Sun Dec 19 18:42:43 GMT 2021","13425","tests.Buying","test_success_buying_one_product","","","","Проверка возможности совершить покупку единственного товара",""
"passed","Sun Dec 19 18:42:27 GMT 2021","Sun Dec 19 18:42:30 GMT 2021","3362","tests.Basket","test_deleting_products_from_basket","","","","Проверка очистки формы Корзины до совершения покупки",""
"passed","Sun Dec 19 18:42:58 GMT 2021","Sun Dec 19 18:42:59 GMT 2021","545","tests.Search","test_success_searching","","","","Проверка поиска продуктов на сайте магазина",""
"broken","Sun Dec 19 18:42:12 GMT 2021","Sun Dec 19 18:42:26 GMT 2021","14694","tests.Basket","test_cleaning_basket_after_buying","","","","Проверка очистки формы Корзины после совершения покупки",""
"broken","Sun Dec 19 18:42:44 GMT 2021","Sun Dec 19 18:42:58 GMT 2021","14353","tests.Buying","test_success_buying_several_products","","","","Проверка возможности совершить покупку нескольких товаров",""
